cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,accel_x_g,accel_y_g,accel_z_g,n_samples,timestamp
-14.0,8.0,0.0,0.1359,0.2466,-0.9681,12,2026-08-01T14:11:56
-12.0,0.0,0.0,0.1782,0.1075,-0.9664,12,2026-08-01T14:11:59
-12.0,2.0,0.0,0.1724,0.1226,-0.9722,12,2026-08-01T14:11:59
-12.0,4.0,0.0,0.1131,0.1495,-0.9623,12,2026-08-01T14:12:00
-12.0,6.0,0.0,0.1350,0.1835,-0.9484,12,2026-08-01T14:12:01
-12.0,8.0,0.0,0.1382,0.2154,-0.9731,12,2026-08-01T14:12:02
-10.0,-6.0,0.0,0.2111,0.0014,-0.9688,12,2026-08-01T14:12:05
-10.0,-4.0,0.0,0.1886,0.0202,-0.9694,12,2026-08-01T14:12:06
-10.0,-2.0,0.0,0.1746,0.0605,-0.9799,12,2026-08-01T14:12:07
-10.0,0.0,0.0,0.1375,0.0875,-0.9708,12,2026-08-01T14:12:08
-10.0,2.0,0.0,0.1557,0.1056,-0.9731,12,2026-08-01T14:12:09
-10.0,4.0,0.0,0.1758,0.1326,-0.9714,12,2026-08-01T14:12:09
-10.0,6.0,0.0,0.0740,0.1835,-0.9748,12,2026-08-01T14:12:10
-10.0,8.0,0.0,0.0944,0.2200,-0.9622,12,2026-08-01T14:12:11
-8.0,-8.0,0.0,0.1623,-0.0558,-0.9587,12,2026-08-01T14:12:14
-8.0,-6.0,0.0,0.1708,-0.0210,-0.9721,12,2026-08-01T14:12:16
-8.0,-4.0,0.0,0.1616,0.0116,-1.0055,12,2026-08-01T14:12:16
-8.0,-2.0,0.0,0.1203,0.0490,-0.9832,12,2026-08-01T14:12:17
-8.0,0.0,0.0,0.1059,0.0714,-0.9740,12,2026-08-01T14:12:18
-8.0,2.0,0.0,0.1112,0.0798,-0.9744,12,2026-08-01T14:12:18
-8.0,4.0,0.0,0.1522,0.1224,-0.9700,12,2026-08-01T14:12:19
-8.0,6.0,0.0,0.1441,0.1553,-0.9738,12,2026-08-01T14:12:20
-8.0,8.0,0.0,0.0323,0.1801,-0.9661,12,2026-08-01T14:12:21
-8.0,10.0,0.0,0.0391,0.2109,-0.9575,12,2026-08-01T14:12:22
-6.0,-10.0,0.0,0.1783,-0.0906,-0.9719,12,2026-08-01T14:12:27
-6.0,-8.0,0.0,0.1558,-0.0714,-0.9630,12,2026-08-01T14:12:28
-6.0,-6.0,0.0,0.1566,-0.0202,-0.9960,12,2026-08-01T14:12:29
-6.0,-4.0,0.0,0.1374,-0.0066,-0.9812,12,2026-08-01T14:12:29
-6.0,-2.0,0.0,0.1118,0.0293,-0.9919,12,2026-08-01T14:12:30
-6.0,0.0,0.0,0.0819,0.0677,-1.0028,12,2026-08-01T14:12:31
-6.0,2.0,0.0,0.0342,0.0796,-0.9894,12,2026-08-01T14:12:31
-6.0,4.0,0.0,0.0626,0.1084,-0.9951,12,2026-08-01T14:12:32
-6.0,6.0,0.0,0.0191,0.1528,-0.9729,12,2026-08-01T14:12:33
-6.0,8.0,0.0,0.0234,0.1684,-0.9621,12,2026-08-01T14:12:34
-6.0,10.0,0.0,0.0156,0.1985,-0.9632,12,2026-08-01T14:12:35
-4.0,-12.0,0.0,0.1543,-0.1274,-0.9791,12,2026-08-01T14:12:39
-4.0,-10.0,0.0,0.1371,-0.1109,-0.9718,12,2026-08-01T14:12:40
-4.0,-8.0,0.0,0.1272,-0.0719,-0.9906,12,2026-08-01T14:12:41
-4.0,-6.0,0.0,0.1129,-0.0479,-0.9774,12,2026-08-01T14:12:42
-4.0,-4.0,0.0,0.1039,-0.0206,-0.9834,12,2026-08-01T14:12:43
-4.0,-2.0,0.0,0.1412,-0.0144,-0.9936,12,2026-08-01T14:12:43
-4.0,0.0,0.0,0.0715,0.0569,-0.9867,12,2026-08-01T14:12:44
-4.0,2.0,0.0,0.0428,0.0680,-0.9856,12,2026-08-01T14:12:45
-4.0,4.0,0.0,0.1214,0.0890,-0.9666,12,2026-08-01T14:12:45
-4.0,6.0,0.0,0.0848,0.1204,-0.9939,12,2026-08-01T14:12:46
-4.0,8.0,0.0,-0.0155,0.1510,-0.9815,12,2026-08-01T14:12:47
-4.0,10.0,0.0,-0.0483,0.1986,-0.9713,12,2026-08-01T14:12:48
-2.0,-14.0,0.0,0.1378,-0.1762,-0.9639,12,2026-08-01T14:12:53
-2.0,-12.0,0.0,0.1320,-0.1587,-0.9706,12,2026-08-01T14:12:54
-2.0,-10.0,0.0,0.0949,-0.1180,-0.9884,12,2026-08-01T14:12:55
-2.0,-8.0,0.0,0.1385,-0.1115,-0.9769,12,2026-08-01T14:12:55
-2.0,-6.0,0.0,0.0927,-0.0548,-0.9845,12,2026-08-01T14:12:56
-2.0,-4.0,0.0,0.1100,-0.0225,-1.0078,12,2026-08-01T14:12:57
-2.0,-2.0,0.0,0.0275,-0.0257,-0.9694,12,2026-08-01T14:12:57
-2.0,0.0,0.0,0.0237,0.0461,-0.9849,12,2026-08-01T14:12:58
-2.0,2.0,0.0,0.0523,0.0598,-0.9765,12,2026-08-01T14:12:59
-2.0,4.0,0.0,0.0174,0.0969,-1.0139,12,2026-08-01T14:13:00
-2.0,6.0,0.0,0.0345,0.1004,-0.9719,12,2026-08-01T14:13:00
-2.0,8.0,0.0,0.0987,0.1277,-0.9795,12,2026-08-01T14:13:01
-2.0,10.0,0.0,-0.0363,0.1584,-0.9687,12,2026-08-01T14:13:02
0.0,-16.0,0.0,0.1456,-0.2369,-0.9563,12,2026-08-01T14:13:07
0.0,-14.0,0.0,0.1225,-0.1963,-0.9602,12,2026-08-01T14:13:08
0.0,-12.0,0.0,0.0984,-0.1740,-0.9788,12,2026-08-01T14:13:09
0.0,-10.0,0.0,0.0804,-0.1455,-0.9786,12,2026-08-01T14:13:10
0.0,-8.0,0.0,0.1095,-0.0986,-0.9861,12,2026-08-01T14:13:11
0.0,-6.0,0.0,0.0409,-0.0756,-0.9890,12,2026-08-01T14:13:11
0.0,-4.0,0.0,0.0098,-0.0394,-0.9714,12,2026-08-01T14:13:12
0.0,-2.0,0.0,0.0236,-0.0095,-0.9978,12,2026-08-01T14:13:13
0.0,0.0,0.0,0.0063,-0.0382,-0.9914,12,2026-08-01T14:13:13
0.0,2.0,0.0,-0.0520,0.0220,-0.9966,12,2026-08-01T14:13:14
0.0,4.0,0.0,-0.0544,0.0890,-1.0120,12,2026-08-01T14:13:15
0.0,6.0,0.0,-0.0513,0.0945,-1.0035,12,2026-08-01T14:13:16
0.0,8.0,0.0,-0.0340,0.1074,-0.9476,12,2026-08-01T14:13:16
0.0,10.0,0.0,-0.0835,0.1681,-0.9965,12,2026-08-01T14:13:17
0.0,12.0,0.0,-0.0543,0.1721,-0.9655,12,2026-08-01T14:13:19
2.0,-14.0,0.0,0.0928,-0.2107,-0.9580,12,2026-08-01T14:13:25
2.0,-12.0,0.0,0.0639,-0.2043,-0.9564,12,2026-08-01T14:13:26
2.0,-10.0,0.0,0.0499,-0.1575,-0.9598,12,2026-08-01T14:13:27
2.0,-8.0,0.0,0.0344,-0.1394,-0.9401,12,2026-08-01T14:13:27
2.0,-6.0,0.0,0.0317,-0.0768,-0.9731,12,2026-08-01T14:13:28
2.0,-4.0,0.0,-0.0784,-0.0602,-0.9968,12,2026-08-01T14:13:29
2.0,-2.0,0.0,0.0039,-0.0295,-0.9875,12,2026-08-01T14:13:29
2.0,0.0,0.0,-0.0468,-0.0215,-0.9778,12,2026-08-01T14:13:30
2.0,2.0,0.0,-0.2087,0.0632,-0.9390,12,2026-08-01T14:13:31
