cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,accel_x_g,accel_y_g,accel_z_g,n_samples,timestamp
2.0,4.0,0.0,-0.0621,0.0812,-0.9684,12,2026-08-01T14:13:31
2.0,6.0,0.0,-0.0976,0.0546,-0.9736,12,2026-08-01T14:13:32
2.0,8.0,0.0,-0.1579,0.1281,-1.0135,12,2026-08-01T14:13:33
2.0,10.0,0.0,-0.1117,0.1160,-0.9626,12,2026-08-01T14:13:34
4.0,-12.0,0.0,0.0158,-0.2271,-0.9674,12,2026-08-01T14:13:39
4.0,-10.0,0.0,0.0118,-0.1656,-0.9790,12,2026-08-01T14:13:40
4.0,-8.0,0.0,-0.0103,-0.1556,-0.9702,12,2026-08-01T14:13:41
4.0,-6.0,0.0,-0.0477,-0.1332,-0.9931,12,2026-08-01T14:13:41
4.0,-4.0,0.0,-0.0334,-0.0745,-0.9904,12,2026-08-01T14:13:42
4.0,-2.0,0.0,-0.0474,-0.0538,-0.9876,12,2026-08-01T14:13:43
4.0,0.0,0.0,-0.0811,0.0062,-0.9966,12,2026-08-01T14:13:43
4.0,2.0,0.0,-0.1055,0.0109,-0.9871,12,2026-08-01T14:13:44
4.0,4.0,0.0,-0.0848,0.0299,-0.9964,12,2026-08-01T14:13:45
4.0,6.0,0.0,-0.0422,0.0780,-1.0103,12,2026-08-01T14:13:46
4.0,8.0,0.0,0.2587,0.0103,-0.9798,12,2026-08-01T14:13:46
4.0,10.0,0.0,-0.1165,0.1131,-0.9685,12,2026-08-01T14:13:47
6.0,-10.0,0.0,-0.0243,-0.1821,-0.9754,12,2026-08-01T14:13:52
6.0,-8.0,0.0,-0.0016,-0.1517,-0.9804,12,2026-08-01T14:13:53
6.0,-6.0,0.0,-0.0498,-0.1322,-0.9819,12,2026-08-01T14:13:54
6.0,-4.0,0.0,-0.0734,-0.0882,-0.9584,12,2026-08-01T14:13:54
6.0,-2.0,0.0,-0.1312,-0.0662,-0.9810,12,2026-08-01T14:13:55
6.0,0.0,0.0,0.0564,-0.0217,-0.9765,12,2026-08-01T14:13:56
6.0,2.0,0.0,-0.1315,-0.0536,-0.9709,12,2026-08-01T14:13:57
6.0,4.0,0.0,-0.2097,0.0570,-1.0070,12,2026-08-01T14:13:57
6.0,6.0,0.0,-0.1264,0.0337,-0.9562,12,2026-08-01T14:13:58
6.0,8.0,0.0,-0.1405,0.1030,-1.0027,12,2026-08-01T14:13:59
6.0,10.0,0.0,-0.1758,0.1016,-0.9769,12,2026-08-01T14:14:00
8.0,-8.0,0.0,-0.0655,-0.1488,-0.9719,12,2026-08-01T14:14:04
8.0,-6.0,0.0,-0.0759,-0.1348,-0.9800,12,2026-08-01T14:14:05
8.0,-4.0,0.0,-0.0923,-0.1002,-1.0007,12,2026-08-01T14:14:06
8.0,-2.0,0.0,0.0714,-0.0635,-0.9742,12,2026-08-01T14:14:07
8.0,0.0,0.0,-0.1571,-0.0169,-1.0091,12,2026-08-01T14:14:08
8.0,2.0,0.0,-0.0277,0.0255,-1.0113,12,2026-08-01T14:14:08
8.0,4.0,0.0,-0.1661,0.0017,-0.9663,12,2026-08-01T14:14:09
8.0,6.0,0.0,-0.1885,0.0418,-1.0021,12,2026-08-01T14:14:10
8.0,8.0,0.0,-0.1890,0.0617,-0.9639,12,2026-08-01T14:14:11
8.0,10.0,0.0,-0.1995,0.0832,-0.9625,12,2026-08-01T14:14:12
10.0,-6.0,0.0,-0.1002,-0.1277,-0.9739,12,2026-08-01T14:14:16
10.0,-4.0,0.0,-0.1188,-0.1194,-0.9732,12,2026-08-01T14:14:17
10.0,-2.0,0.0,-0.1477,-0.0573,-1.0089,12,2026-08-01T14:14:18
10.0,0.0,0.0,-0.1659,-0.0178,-0.9901,12,2026-08-01T14:14:19
10.0,2.0,0.0,-0.2709,0.0352,-1.0120,12,2026-08-01T14:14:19
10.0,4.0,0.0,-0.1630,0.0183,-0.9901,12,2026-08-01T14:14:20
10.0,6.0,0.0,-0.1928,0.0245,-0.9797,12,2026-08-01T14:14:21
10.0,8.0,0.0,-0.1940,0.0647,-1.0006,12,2026-08-01T14:14:22
12.0,0.0,0.0,-0.1774,-0.0759,-0.9679,12,2026-08-01T14:14:24
12.0,2.0,0.0,-0.2041,-0.0552,-0.9808,12,2026-08-01T14:14:25
12.0,4.0,0.0,-0.1905,-0.0528,-0.9577,12,2026-08-01T14:14:26
12.0,6.0,0.0,-0.2350,-0.0709,-0.9443,12,2026-08-01T14:14:26
12.0,8.0,0.0,-0.2316,0.0349,-0.9701,12,2026-08-01T14:14:28
14.0,8.0,0.0,-0.2600,0.0203,-0.9559,12,2026-08-01T14:14:29
