cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,accel_x_g,accel_y_g,accel_z_g,n_samples,timestamp
0.0,0.0,0.0,0.0170,0.0069,-0.9943,12,2026-08-01T14:24:22
0.5,0.0,0.0,-0.0234,0.0170,-0.9869,12,2026-08-01T14:24:23
1.0,0.0,0.0,-0.0058,0.0135,-1.0074,12,2026-08-01T14:24:23
1.5,0.0,0.0,0.0280,0.0048,-0.9897,12,2026-08-01T14:24:24
2.0,0.0,0.0,-0.0715,-0.0079,-0.9821,12,2026-08-01T14:24:24
2.5,0.0,0.0,-0.0164,-0.0181,-0.9914,12,2026-08-01T14:24:25
3.0,0.0,0.0,-0.0757,-0.0278,-0.9897,12,2026-08-01T14:24:25
3.5,0.0,0.0,-0.0982,-0.0283,-0.9857,12,2026-08-01T14:24:26
4.0,0.0,0.0,-0.0292,-0.0321,-0.9943,12,2026-08-01T14:24:26
4.5,0.0,0.0,-0.0291,-0.0375,-0.9815,12,2026-08-01T14:24:27
5.0,0.0,0.0,-0.0669,-0.0090,-0.9832,12,2026-08-01T14:24:28
5.5,0.0,0.0,-0.0286,-0.0723,-0.9925,12,2026-08-01T14:24:28
6.0,0.0,0.0,-0.1163,-0.0275,-0.9771,12,2026-08-01T14:24:29
6.5,0.0,0.0,-0.0535,-0.0186,-0.9906,12,2026-08-01T14:24:29
7.0,0.0,0.0,-0.0655,-0.0538,-0.9818,12,2026-08-01T14:24:30
7.5,0.0,0.0,-0.0503,-0.0634,-0.9696,12,2026-08-01T14:24:30
8.0,0.0,0.0,-0.0936,-0.0543,-0.9784,12,2026-08-01T14:24:31
8.5,0.0,0.0,-0.0909,0.0002,-0.9612,12,2026-08-01T14:24:31
9.0,0.0,0.0,-0.0702,-0.0801,-0.9716,12,2026-08-01T14:24:32
9.5,0.0,0.0,-0.0695,-0.1735,-0.9537,12,2026-08-01T14:24:33
10.0,0.0,0.0,0.4280,-0.1370,-0.9799,12,2026-08-01T14:24:33
10.5,0.0,0.0,-0.1010,-0.0643,-0.9762,12,2026-08-01T14:24:34
11.0,0.0,0.0,-0.0469,-0.0373,-0.9578,12,2026-08-01T14:24:34
11.5,0.0,0.0,-0.1951,-0.1453,-0.9679,12,2026-08-01T14:24:35
12.0,0.0,0.0,-0.1773,-0.0823,-0.9663,12,2026-08-01T14:24:36
0.5,0.1,0.0,-0.0051,-0.0027,-0.9892,12,2026-08-01T14:24:39
1.0,0.3,0.0,-0.0252,0.0349,-0.9933,12,2026-08-01T14:24:39
1.4,0.4,0.0,-0.0368,0.0019,-0.9903,12,2026-08-01T14:24:40
1.9,0.5,0.0,-0.0874,-0.0109,-0.9840,12,2026-08-01T14:24:41
2.4,0.6,0.0,-0.0456,-0.0005,-0.9896,12,2026-08-01T14:24:41
2.9,0.8,0.0,-0.0238,-0.0273,-0.9946,12,2026-08-01T14:24:42
3.4,0.9,0.0,-0.0310,-0.0248,-0.9874,12,2026-08-01T14:24:42
3.9,1.0,0.0,-0.0536,-0.0042,-0.9924,12,2026-08-01T14:24:43
4.3,1.2,0.0,-0.0845,-0.0196,-0.9768,12,2026-08-01T14:24:43
4.8,1.3,0.0,-0.0824,-0.0114,-0.9847,12,2026-08-01T14:24:44
5.3,1.4,0.0,0.0260,-0.0004,-0.9811,12,2026-08-01T14:24:44
5.8,1.6,0.0,-0.0347,-0.0410,-0.9787,12,2026-08-01T14:24:45
6.3,1.7,0.0,-0.0674,-0.0085,-0.9850,12,2026-08-01T14:24:45
6.8,1.8,0.0,-0.0779,-0.0568,-0.9978,12,2026-08-01T14:24:46
7.2,1.9,0.0,-0.1566,-0.0071,-0.9652,12,2026-08-01T14:24:47
7.7,2.1,0.0,-0.1542,0.0004,-0.9876,12,2026-08-01T14:24:47
8.2,2.2,0.0,-0.1261,-0.0009,-0.9715,12,2026-08-01T14:24:48
8.7,2.3,0.0,-0.0709,-0.1007,-0.9862,12,2026-08-01T14:24:48
9.2,2.5,0.0,-0.1779,-0.0815,-0.9882,12,2026-08-01T14:24:49
9.7,2.6,0.0,-0.1722,-0.0402,-0.9898,12,2026-08-01T14:24:49
10.1,2.7,0.0,-0.1803,0.0160,-0.9502,12,2026-08-01T14:24:50
10.6,2.8,0.0,-0.1786,-0.0260,-0.9663,12,2026-08-01T14:24:50
11.1,3.0,0.0,-0.1672,-0.0025,-0.9486,12,2026-08-01T14:24:51
11.6,3.1,0.0,-0.4858,-0.0118,-0.9431,12,2026-08-01T14:24:52
12.1,3.2,0.0,-0.2216,-0.0393,-0.9817,12,2026-08-01T14:24:52
12.6,3.4,0.0,-0.1824,-0.0262,-0.9865,12,2026-08-01T14:24:53
0.4,0.3,0.0,-0.0004,0.0002,-0.9916,12,2026-08-01T14:24:56
0.9,0.5,0.0,0.0260,0.0344,-0.9848,12,2026-08-01T14:24:56
1.3,0.8,0.0,-0.0356,0.0240,-1.0082,12,2026-08-01T14:24:57
1.7,1.0,0.0,-0.0194,-0.0395,-0.9995,12,2026-08-01T14:24:58
2.2,1.2,0.0,-0.0411,0.0149,-0.9949,12,2026-08-01T14:24:58
2.6,1.5,0.0,-0.0591,0.0024,-0.9876,12,2026-08-01T14:24:59
3.0,1.7,0.0,-0.0504,0.0259,-0.9887,12,2026-08-01T14:24:59
3.5,2.0,0.0,0.0307,0.0587,-0.9949,12,2026-08-01T14:25:00
3.9,2.2,0.0,-0.0751,-0.0290,-0.9897,12,2026-08-01T14:25:00
4.3,2.5,0.0,-0.0654,-0.0048,-0.9908,12,2026-08-01T14:25:01
4.8,2.7,0.0,-0.0651,-0.0057,-0.9870,12,2026-08-01T14:25:01
5.2,3.0,0.0,-0.1102,-0.0123,-0.9817,12,2026-08-01T14:25:02
5.6,3.2,0.0,-0.1441,0.0044,-0.9816,12,2026-08-01T14:25:03
6.1,3.5,0.0,-0.0454,-0.0327,-0.9886,12,2026-08-01T14:25:03
6.5,3.7,0.0,-0.1228,0.0726,-0.9730,12,2026-08-01T14:25:04
6.9,4.0,0.0,-0.0998,-0.0060,-0.9747,12,2026-08-01T14:25:04
7.4,4.3,0.0,-0.1768,0.0098,-0.9723,12,2026-08-01T14:25:05
7.8,4.5,0.0,-0.1222,-0.0168,-0.9853,12,2026-08-01T14:25:05
8.2,4.8,0.0,-0.2385,0.0526,-0.9759,12,2026-08-01T14:25:06
8.7,5.0,0.0,-0.2085,-0.0003,-0.9754,12,2026-08-01T14:25:06
9.1,5.3,0.0,-0.2511,0.0271,-0.9760,12,2026-08-01T14:25:07
9.5,5.5,0.0,-0.1526,0.0138,-0.9795,12,2026-08-01T14:25:07
10.0,5.8,0.0,-0.1650,-0.0051,-0.9756,12,2026-08-01T14:25:08
10.4,6.0,0.0,-0.1626,0.0005,-0.9727,12,2026-08-01T14:25:09
10.8,6.3,0.0,-0.2074,0.0032,-0.9719,12,2026-08-01T14:25:09
11.3,6.5,0.0,-0.2192,0.0136,-0.9633,12,2026-08-01T14:25:10
11.7,6.8,0.0,-0.2433,0.0066,-0.9561,12,2026-08-01T14:25:10
12.1,7.0,0.0,-0.2590,0.0691,-0.9500,12,2026-08-01T14:25:11
12.6,7.3,0.0,-0.2239,0.0348,-0.9528,12,2026-08-01T14:25:11
13.0,7.5,0.0,-0.2088,0.0527,-0.9677,12,2026-08-01T14:25:12
13.4,7.8,0.0,-0.2519,0.0913,-0.9712,12,2026-08-01T14:25:13
13.9,8.0,0.0,-0.2461,-0.0248,-0.9470,12,2026-08-01T14:25:13
0.4,0.4,0.0,-0.0096,-0.0199,-0.9472,12,2026-08-01T14:25:16
0.7,0.7,0.0,-0.0191,0.0073,-0.9887,12,2026-08-01T14:25:17
1.1,1.1,0.0,-0.0194,0.0102,-0.9874,12,2026-08-01T14:25:18
1.4,1.4,0.0,-0.0321,0.0156,-0.9987,12,2026-08-01T14:25:18
1.8,1.8,0.0,-0.0420,0.0043,-0.9847,12,2026-08-01T14:25:19
2.1,2.1,0.0,-0.0650,0.0006,-0.9841,12,2026-08-01T14:25:19
2.5,2.5,0.0,-0.0714,-0.0097,-0.9979,12,2026-08-01T14:25:20
2.8,2.8,0.0,-0.0509,0.0608,-0.9812,12,2026-08-01T14:25:20
3.2,3.2,0.0,-0.0599,0.0328,-0.9749,12,2026-08-01T14:25:21
3.5,3.5,0.0,-0.0940,0.0288,-0.9898,12,2026-08-01T14:25:21
3.9,3.9,0.0,-0.0578,0.0467,-0.9895,12,2026-08-01T14:25:22
4.2,4.2,0.0,-0.0430,0.0409,-0.9803,12,2026-08-01T14:25:22
