raster_number,x_mm,y_mm,charge_v,timestamp
1,117.60467881774723,15.042040361189429,5028.229553545317,1784493958.09183
1,117.88246795346575,15.15360405527227,6127.426727298123,1784493958.0997343
1,118.61224105905914,15.446690331996958,6471.098088058238,1784493958.1114256
1,119.31625752777343,15.72943241167466,4799.183360036049,1784493958.1192806
1,120.60236118098742,16.245948200367643,7110.671817349268,1784493958.1303682
1,122.18985447489445,16.88350594985238,5053.338895614513,1784493958.1412036
1,123.83859678707654,17.545662093799315,6182.136513270031,1784493958.1506398
1,125.95744801711882,18.39662003289965,6452.317116754448,1784493958.1611068
1,128.056593951549,19.23966407153086,4727.529871692241,1784493958.1702447
1,130.79642232647612,20.34001442853544,7166.19816729091,1784493958.1808946
1,133.80686666708337,21.549047642164282,5091.462225951284,1784493958.191734
1,135.9092930529247,22.39340915232562,6139.98139833272,1784493958.1992862
1,138.96516542413698,23.620686848036506,6910.664680013524,1784493958.2102633
1,141.64423912782743,24.696637346715384,5868.7290546380345,1784493958.2198868
1,144.59630436217094,25.882224759502535,7645.776393762962,1784493958.230491
1,147.64593768551515,27.106996773247417,5236.147154337819,1784493958.2414455
1,150.4770052149278,28.24398994960875,6402.608785097134,1784493958.251615
1,152.85089655587996,29.19737528148242,6769.3991132502315,1784493958.2601423
1,155.77681088745726,30.37246015496525,4945.144169625288,1784493958.2706525
1,158.71719450026055,31.55335607811392,7356.151360749351,1784493958.2812147
1,161.70470283632267,32.753177896963265,5155.868709063738,1784493958.2919462
1,163.86580282126374,33.6211034800815,6253.943107358165,1784493958.299709
1,166.83071667432858,34.811851063602866,6690.957936908043,1784493958.3104265
1,169.49158716550056,35.880490917725815,5012.255520887473,1784493958.3209195
1,171.87042882759584,36.83586436231741,7447.606525359111,1784493958.3315294
1,173.49415774252063,37.48797480382039,5543.685559437383,1784493958.3397288
1,175.24807073772752,38.19236884838613,6744.238735932927,1784493958.3498988
1,176.80155371786384,38.816267617899015,7073.5691919746605,1784493958.3607469
1,178.0145908205128,39.30343893898408,5124.2268552366995,1784493958.371464
1,178.7071876734326,39.581594753904724,7641.744609162421,1784493958.3794053
1,179.37408776594447,39.84943041894025,5495.30414423088,1784493958.3903515
1,179.69830705808,39.97964106173593,6711.47410664751,1784493958.4007285
1,179.71570025452553,40.0,7086.430074497907,1784493958.411475
1,179.51649545030062,40.0,5042.111141030726,1784493958.4192133
1,178.96278439258927,40.0,7554.474334897527,1784493958.4296575
1,178.0604456568393,40.0,5407.982834717878,1784493958.4403148
1,176.85381159446206,40.0,6535.1983596820455,1784493958.4506965
1,175.28186018468733,40.0,6924.495232250826,1784493958.4613352
1,173.3734400971437,40.0,4941.775843250151,1784493958.4719582
1,171.7664098400069,40.0,7426.222756401808,1784493958.4797134
1,169.28352916410844,40.0,5291.061081302162,1784493958.4902916
1,166.56747317285655,40.0,6194.078761327335,1784493958.500506
1,163.92268116827006,40.0,6130.795053673258,1784493958.5095177
1,160.80838616247172,40.0,4430.198516214303,1784493958.5198987
1,157.61720116491313,40.0,6842.379518044853,1784493958.530536
1,154.46249420995707,40.0,4947.593861534478,1784493958.5410516
1,151.3401168143272,40.0,5888.020378422906,1784493958.5514596
1,148.2959168707847,40.0,6371.936600984151,1784493958.561607
1,145.38818772191996,40.0,4670.166252818709,1784493958.5712993
1,142.4281018530845,40.0,7058.973111015737,1784493958.5811663
1,137.9999535834312,40.0,5057.932067944246,1784493958.5959268
1,136.0522406851768,40.0,5837.0361655628885,1784493958.6024191
1,133.67172654027934,40.0,6325.44348995765,1784493958.6103542
1,129.7039168631553,40.0,4672.615944727899,1784493958.6235802
1,127.48190338964456,40.0,7033.812733698432,1784493958.630987
1,124.71221859807962,40.0,5052.011979163702,1784493958.6402192
1,121.66773255224221,40.0,6379.030500471181,1784493958.6503675
1,118.22849686498635,40.0,7873.648776565745,1784493958.6618316
1,115.90792115087503,40.0,4770.603621095499,1784493958.6695669
1,112.24595482702249,40.0,7395.448501792609,1784493958.6817734
1,109.36404641027444,40.0,5209.659860569702,1784493958.6913798
1,106.63556034917825,40.0,6173.2053448511115,1784493958.7004747
1,102.80622418279641,40.0,6790.629776463212,1784493958.7132392
1,100.85028584356301,40.0,5023.330169726936,1784493958.719759
1,97.32157166357035,40.0,7373.86059184287,1784493958.7315214
1,94.81324131841654,40.0,5176.691090291853,1784493958.7398825
1,91.63664753789897,40.0,6113.136857827847,1784493958.750471
1,88.32994873876567,40.0,6611.5470908518,1784493958.7614934
1,85.77376778478617,40.0,4902.019384973923,1784493958.770014
1,82.54302914495463,40.0,7244.639343633097,1784493958.7807832
1,79.22531540746684,40.0,5355.008247181643,1784493958.7918422
1,76.94586689825053,40.0,7177.323851378479,1784493958.7994404
1,73.32066471929545,40.0,8165.87660723287,1784493958.8115244
1,70.96024926061625,40.0,5453.812487518975,1784493958.8193924
1,67.93755601379391,40.0,7858.338202133306,1784493958.8297908
1,65.1470813523315,40.0,5737.4153612558275,1784493958.8405323
1,62.79665580617204,40.0,7386.109051388822,1784493958.850831
1,60.99005045260674,40.0,7754.634577977595,1784493958.8599017
1,59.18356498733151,40.0,5447.433081505458,1784493958.870554
1,57.74037309114081,40.0,7908.863097760351,1784493958.8810186
1,56.62097109041649,40.0,5497.039342666555,1784493958.8915355
1,56.01347745543933,40.0,6364.0771727755,1784493958.8992107
1,55.46883012588275,40.0,6701.777409506966,1784493958.9097059
1,55.25489344199271,40.0,4886.045352316079,1784493958.9201455
1,55.17710060823963,40.10054886219709,7228.205993742279,1784493958.9308774
1,54.902277204257416,40.474478605288155,5202.974243067538,1784493958.9415698
1,54.582251277918566,40.909911725919,6154.934726028401,1784493958.9491942
1,53.961216712055645,41.754902699390925,6773.328827354558,1784493958.9598608
1,53.16308759242881,42.84085175733535,5178.069041990772,1784493958.9702375
1,52.16367612725269,44.200669251044005,7823.787339164104,1784493958.9807096
1,50.94368972124939,45.86060503803011,5625.801273643358,1784493958.99139
1,49.56348392922746,47.73853824803056,6119.669369585685,1784493959.0017724
1,48.19853838541198,49.5957080855938,6623.081056924236,1784493959.010858
1,46.456866831937255,51.96545821277722,4940.602032543665,1784493959.0212538
1,44.633971938584466,54.44572229973813,7455.210777327224,1784493959.0317302
1,43.37125711458399,56.16379515268316,5757.982566243401,1784493959.0396736
1,41.86483205955089,58.21346459732381,6215.615636028962,1784493959.0502436
1,40.52735648661012,60.03325829077757,6381.071910395506,1784493959.0610726
1,39.43754968571163,61.51606932933544,4666.695855947356,1784493959.0714877
1,38.71784325420659,62.49531504543569,6985.737529980577,1784493959.079654
1,37.9566310707519,63.53103424573869,5034.098607077751,1784493959.0903141
1,37.3868711095695,64.30626005555473,5970.697480358069,1784493959.1012185
1,37.030097224192104,64.79169312045268,6833.346279129714,1784493959.1120481
1,36.89657438394115,64.97336673568473,4957.290558675021,1784493959.120482
1,36.93543667659324,65.0,7563.915855797531,1784493959.1314178
1,37.18393645098807,65.0,5377.9741088303,1784493959.1394808
1,37.913294666994965,65.0,6342.846509562519,1784493959.1514604
1,38.662319520509776,65.0,6652.171148345868,1784493959.1596756
1,39.928309500185144,65.0,4672.207662743033,1784493959.1702783
1,41.57876586282617,65.0,7185.897773060645,1784493959.1811628
1,58.56334221750373,65.0,5072.2729726626285,1784493959.247464
1,58.72649205118293,65.0,6033.981188012144,1784493959.2480078
1,58.85116112619514,65.0,6585.417043820441,1784493959.2484233
1,58.97017968088264,65.0,4742.023882154948,1784493959.24882
1,59.08626568704719,65.0,7454.547319101817,1784493959.249207
1,59.201779488621895,65.0,5406.349706778418,1784493959.249592
1,59.68207371622199,65.0,6333.558094406841,1784493959.251193
1,62.18325150400276,65.0,6979.205018222735,1784493959.2595303
1,65.30956280618781,65.0,5119.88885914751,1784493959.2699513
2,68.44595921426887,65.0,7984.395264960377,1784493959.280406
2,71.08804238229865,65.0,5704.191414737438,1784493959.289213
2,74.25004494577522,65.0,6845.900950164313,1784493959.299753
2,77.46790898233527,65.0,7402.083084046664,1784493959.3104792
2,80.56918633371467,65.0,4482.203434036482,1784493959.3208168
2,83.78254425912971,65.0,6852.790708658909,1784493959.331528
2,86.3563205042469,65.0,5034.966206295588,1784493959.3401072
2,89.50652134805793,65.0,5961.7152766910385,1784493959.3506079
2,92.65536320596809,65.0,6671.258331138307,1784493959.361104
2,95.86450112253303,65.0,4801.377875704698,1784493959.3718011
2,98.2330704966175,65.0,7232.288813590931,1784493959.3796964
2,101.41703141122932,65.0,5252.988786213502,1784493959.3903096
2,104.54319966226691,65.0,6065.0616541099935,1784493959.4007301
2,107.76914608865852,65.0,6729.132302492922,1784493959.4114833
2,110.80218804269904,65.0,4891.9144058485135,1784493959.4215934
2,113.22690499216193,65.0,7380.495174096927,1784493959.4296758
2,116.69382107645148,65.0,5479.585287813578,1784493959.4412322
2,119.79996216684455,65.0,6495.28879566149,1784493959.451586
2,122.21845639139289,65.0,7179.263190806589,1784493959.4596477
2,125.33282292276496,65.0,4826.844464510654,1784493959.4700289
2,128.52815640359992,65.0,7440.461590623974,1784493959.48068
2,131.7279959955799,65.0,5320.100137475687,1784493959.4913461
2,134.871544961034,65.0,6407.35506317119,1784493959.5018246
2,137.24397671609992,65.0,7232.237778342823,1784493959.5097327
2,140.39818299203986,65.0,5699.445136663382,1784493959.5202467
2,143.54623806863898,65.0,7170.229951891449,1784493959.5307403
2,146.78555977731818,65.0,5171.89377696969,1784493959.541538
2,149.13839352518195,65.0,6556.531093391241,1784493959.5493808
2,152.32543003946418,65.0,7275.00531625743,1784493959.5600042
2,155.45252812296027,65.0,5218.080676507543,1784493959.570428
2,158.13681137949104,65.0,7807.149848280856,1784493959.5793755
2,161.2960244455921,65.0,5670.5591862341835,1784493959.5899062
2,164.52297223001594,65.0,6696.061461718857,1784493959.6006627
2,167.69320023447153,65.0,7177.83420385956,1784493959.6112301
2,170.82551968484995,65.0,5251.457728770258,1784493959.6216712
2,173.21897995859263,65.0,8018.282669704172,1784493959.6296494
2,176.32740986734507,65.0,6048.475198474853,1784493959.6400108
