raster_number,x_mm,y_mm,charge_v,timestamp,image_path
1,117.55499082346512,15.022085022837766,849.4124032038872,1784577637.566483,raster_data/images/session_20260720_125856/raster_0001.jpg
1,117.87626608049794,15.15111330322493,850.6882844065909,1784577637.576639,raster_data/images/session_20260720_125856/raster_0001.jpg
1,118.5114075903795,15.406194312510848,849.718614692536,1784577637.5871534,raster_data/images/session_20260720_125856/raster_0001.jpg
1,119.44049179858985,15.779326494638408,849.4634384519953,1784577637.5975351,raster_data/images/session_20260720_125856/raster_0001.jpg
1,120.44323826611878,16.18204238868045,849.3103327076709,1784577637.6061811,raster_data/images/session_20260720_125856/raster_0001.jpg
1,121.92153902559794,16.77574701023227,849.4634384519953,1784577637.6165583,raster_data/images/session_20260720_125856/raster_0001.jpg
1,123.72369952669415,17.499517874461496,850.0758614292931,1784577637.627065,raster_data/images/session_20260720_125856/raster_0001.jpg
1,125.78399343496321,18.326958439076616,848.8510154746975,1784577637.637343,raster_data/images/session_20260720_125856/raster_0001.jpg
1,127.52244365692148,19.025142434786694,850.5862139103746,1784577637.6450524,raster_data/images/session_20260720_125856/raster_0001.jpg
1,130.12665958193614,20.071029085582154,849.1572269633466,1784577637.6554408,raster_data/images/session_20260720_125856/raster_0001.jpg
1,133.00740569292444,21.22797382003102,849.0551564671304,1784577637.665902,raster_data/images/session_20260720_125856/raster_0001.jpg
1,135.66265154358683,22.294354746095053,849.718614692536,1784577637.6754398,raster_data/images/session_20260720_125856/raster_0001.jpg
1,138.56739293612247,23.460936294608143,850.8413901509152,1784577637.685874,raster_data/images/session_20260720_125856/raster_0001.jpg
1,141.44312939335657,24.615869087598426,850.7393196546989,1784577637.696204,raster_data/images/session_20260720_125856/raster_0001.jpg
1,144.35822495043925,25.786609001927438,851.6579541206455,1784577637.7066753,raster_data/images/session_20260720_125856/raster_0001.jpg
1,147.25984681904086,26.95193770945753,851.4027778801047,1784577637.7170982,raster_data/images/session_20260720_125856/raster_0001.jpg
1,150.12449901038167,28.102418918529484,851.0455311433477,1784577637.7273884,raster_data/images/session_20260720_125856/raster_0001.jpg
1,152.30816576420727,28.979407606631135,851.2496721357804,1784577637.7352324,raster_data/images/session_20260720_125856/raster_0001.jpg
1,155.67745073151573,30.33255583684707,851.0455311433477,1784577637.7473352,raster_data/images/session_20260720_125856/raster_0001.jpg
1,157.82129377554512,31.193550810272097,851.0455311433477,1784577637.755036,raster_data/images/session_20260720_125856/raster_0001.jpg
1,160.77614666957433,32.380257783086606,850.1268966774012,1784577637.7656503,raster_data/images/session_20260720_125856/raster_0001.jpg
1,163.64922821282198,33.53412432843179,850.7903549028072,1784577637.7759707,raster_data/images/session_20260720_125856/raster_0001.jpg
1,166.50009659209883,34.679069781080344,850.7393196546989,1784577637.786241,raster_data/images/session_20260720_125856/raster_0001.jpg
1,169.1853053123694,35.75748418142034,850.0758614292931,1784577637.796687,raster_data/images/session_20260720_125856/raster_0001.jpg
1,171.56089668152075,36.71155226651061,850.6882844065909,1784577637.8071053,raster_data/images/session_20260720_125856/raster_0001.jpg
1,173.34755060130288,37.42909548800096,849.2082622114547,1784577637.8159873,raster_data/images/session_20260720_125856/raster_0001.jpg
1,175.2753172500097,38.20331139858058,849.3613679557791,1784577637.8271108,raster_data/images/session_20260720_125856/raster_0001.jpg
1,176.74968026199738,38.79543457003221,850.0758614292931,1784577637.8373833,raster_data/images/session_20260720_125856/raster_0001.jpg
1,177.67538110056864,39.16720794734399,849.667579444428,1784577637.8452058,raster_data/images/session_20260720_125856/raster_0001.jpg
1,178.64219654225175,39.555493478711206,849.8717204368605,1784577637.8556044,raster_data/images/session_20260720_125856/raster_0001.jpg
1,179.30863670258572,39.8231444290614,849.2592974595628,1784577637.8660161,raster_data/images/session_20260720_125856/raster_0001.jpg
1,179.68839155918533,39.975658869694826,850.1268966774012,1784577637.8772042,raster_data/images/session_20260720_125856/raster_0001.jpg
1,179.744046305313,40.0,849.6675794444279,1784577637.88562,raster_data/images/session_20260720_125856/raster_0001.jpg
1,179.52164924941516,40.0,849.718614692536,1784577637.896114,raster_data/images/session_20260720_125856/raster_0001.jpg
1,178.97602483404134,40.0,849.1572269633466,1784577637.9065034,raster_data/images/session_20260720_125856/raster_0001.jpg
1,178.1104888676038,40.0,849.718614692536,1784577637.9168534,raster_data/images/session_20260720_125856/raster_0001.jpg
1,176.90399546825498,40.0,849.718614692536,1784577637.9273536,raster_data/images/session_20260720_125856/raster_0001.jpg
1,175.39437696833667,40.0,850.5351786622664,1784577637.937683,raster_data/images/session_20260720_125856/raster_0001.jpg
1,174.06468960214593,40.0,850.1268966774012,1784577637.945362,raster_data/images/session_20260720_125856/raster_0001.jpg
1,171.8160580593065,40.0,850.1268966774012,1784577637.9565258,raster_data/images/session_20260720_125856/raster_0001.jpg
1,169.7318412075194,40.0,849.6165441963198,1784577637.9655225,raster_data/images/session_20260720_125856/raster_0001.jpg
1,167.04429884874017,40.0,850.6372491584826,1784577637.9758344,raster_data/images/session_20260720_125856/raster_0001.jpg
1,164.00579388494486,40.0,850.2289671736175,1784577637.9862802,raster_data/images/session_20260720_125856/raster_0001.jpg
1,160.92504437322611,40.0,850.4841434141581,1784577637.9965494,raster_data/images/session_20260720_125856/raster_0001.jpg
1,157.83342297430033,40.0,851.453813128213,1784577638.0068548,raster_data/images/session_20260720_125856/raster_0001.jpg
1,154.66877396459574,40.0,849.8717204368605,1784577638.0174036,raster_data/images/session_20260720_125856/raster_0001.jpg
1,152.3218768393516,40.0,850.4841434141581,1784577638.0252266,raster_data/images/session_20260720_125856/raster_0001.jpg
1,148.94887383337016,40.0,850.9434606471315,1784577638.03647,raster_data/images/session_20260720_125856/raster_0001.jpg
1,145.82270558233256,40.0,849.6675794444279,1784577638.0468905,raster_data/images/session_20260720_125856/raster_0001.jpg
1,142.69432003850932,40.0,849.1572269633466,1784577638.0573184,raster_data/images/session_20260720_125856/raster_0001.jpg
1,140.2275460516929,40.0,849.5655089482117,1784577638.065541,raster_data/images/session_20260720_125856/raster_0001.jpg
1,137.1766942297935,40.0,849.1061917152383,1784577638.0757105,raster_data/images/session_20260720_125856/raster_0001.jpg
1,134.0523856436729,40.0,849.1572269633466,1784577638.086125,raster_data/images/session_20260720_125856/raster_0001.jpg
1,130.9377330100059,40.0,850.2800024217256,1784577638.096507,raster_data/images/session_20260720_125856/raster_0001.jpg
1,128.08157379980082,40.0,849.1061917152383,1784577638.1060276,raster_data/images/session_20260720_125856/raster_0001.jpg
1,124.95705063695901,40.0,849.1061917152383,1784577638.1164427,raster_data/images/session_20260720_125856/raster_0001.jpg
1,121.84082444066995,40.0,849.310332707671,1784577638.12683,raster_data/images/session_20260720_125856/raster_0001.jpg
1,118.75621254796975,40.0,849.8206851887525,1784577638.1371121,raster_data/images/session_20260720_125856/raster_0001.jpg
1,115.60558255071633,40.0,848.7999802265896,1784577638.1476142,raster_data/images/session_20260720_125856/raster_0001.jpg
1,113.32234318609231,40.0,849.4634384519953,1784577638.155225,raster_data/images/session_20260720_125856/raster_0001.jpg
1,110.16191418523782,40.0,848.9020507228058,1784577638.1657598,raster_data/images/session_20260720_125856/raster_0001.jpg
1,106.74163277502053,40.0,850.1268966774012,1784577638.1771607,raster_data/images/session_20260720_125856/raster_0001.jpg
1,103.64915306920999,40.0,851.1476016395642,1784577638.187469,raster_data/images/session_20260720_125856/raster_0001.jpg
1,101.1061328207969,40.0,851.2496721357804,1784577638.1959457,raster_data/images/session_20260720_125856/raster_0001.jpg
1,97.9555028235435,40.0,850.5351786622664,1784577638.2064478,raster_data/images/session_20260720_125856/raster_0001.jpg
1,94.86867363805766,40.0,851.2496721357804,1784577638.2167373,raster_data/images/session_20260720_125856/raster_0001.jpg
1,91.71589787359233,40.0,851.096566391456,1784577638.2272465,raster_data/images/session_20260720_125856/raster_0001.jpg
1,88.64358837957377,40.0,851.1476016395642,1784577638.2374876,raster_data/images/session_20260720_125856/raster_0001.jpg
1,86.08397419805522,40.0,850.7903549028072,1784577638.2460196,raster_data/images/session_20260720_125856/raster_0001.jpg
1,82.9450743948936,40.0,850.4841434141581,1784577638.2564826,raster_data/images/session_20260720_125856/raster_0001.jpg
1,79.82026512975688,40.0,850.8924253990234,1784577638.2668986,raster_data/images/session_20260720_125856/raster_0001.jpg
