raster_number,x_mm,y_mm,charge_v,timestamp
1,117.56314031163744,15.025357962231297,796.1316041790288,1784494677.5530424
1,117.90760064682911,15.163697668568618,796.1316041790288,1784494677.5634196
1,118.43200056606284,15.374303428995981,795.8253926903798,1784494677.5721834
1,119.34693082948584,15.74175120463214,795.8764279384881,1784494677.5827336
1,120.5362250873587,16.21938709351102,796.0805689309205,1784494677.5930116
1,122.02712946509182,16.818153490454396,796.0295336828126,1784494677.603337
1,123.40574472903666,17.37182313331807,796.1826394271369,1784494677.6114442
1,125.43580897594661,18.187123076654487,795.8764279384882,1784494677.621814
1,127.81596445209131,19.14302416588672,795.7743574422717,1784494677.6323957
1,130.0113657936464,20.024725615530535,796.0805689309205,1784494677.6411147
1,132.86888555568328,21.172342349147492,795.9784984347042,1784494677.651514
1,135.75490980461473,22.331406851762566,796.233674675245,1784494677.661881
1,138.63389853148217,23.48764579811811,796.1826394271368,1784494677.6722226
1,141.5537729337404,24.660304958208318,795.468145953623,1784494677.6827111
1,144.43820423427997,25.81872971223633,795.7233221941636,1784494677.6930723
1,147.34108718702515,26.984564887397845,795.5702164498393,1784494677.7034998
1,149.54818355678083,27.87096321096758,795.519181201731,1784494677.711428
1,152.23654945942374,28.950645576404337,795.3660754574067,1784494677.7210848
1,155.13511817694098,30.114748099142552,795.468145953623,1784494677.7314968
1,157.97368583836527,31.254753425101317,795.4171107055148,1784494677.7416933
1,160.90988796163992,32.433970008208945,794.498476239568,1784494677.7522404
1,163.79677505761697,33.59338104130868,794.6515819838926,1784494677.7626104
1,166.27758001272406,34.58970425738729,794.8557229763253,1784494677.771535
1,169.05661014877487,35.70579854647258,794.3964057433518,1784494677.7822676
1,171.4410862003452,36.66343483443316,794.8046877282171,1784494677.792656
1,173.5568679100295,37.51316001463055,795.2640049611903,1784494677.803215
1,174.9747495702065,38.082599547866835,795.519181201731,1784494677.811347
1,176.50615048155834,38.697629874198114,795.6722869460556,1784494677.8216453
1,177.75742720456472,39.20015871924237,794.498476239568,1784494677.8320868
1,178.70260675895426,39.579754999660345,794.7536524801089,1784494677.8424945
1,179.3604810403017,39.84396578270402,795.0088287206496,1784494677.8532057
1,179.66214046350544,39.96511609162615,795.0088287206496,1784494677.862013
1,179.73954541230032,40.0,795.110899216866,1784494677.8724232
1,179.49090249616103,40.0,794.6515819838926,1784494677.88303
1,178.92331166521228,40.0,794.3453704952439,1784494677.8933744
1,178.29002496551206,40.0,793.7329475179461,1784494677.9011
1,177.143387483516,40.0,793.3757007811889,1784494677.9115908
1,175.6744802031766,40.0,792.3549958190262,1784494677.9220312
1,173.6588646395936,40.0,792.3039605709181,1784494677.9336314
1,172.0487599667889,40.0,792.3549958190262,1784494677.941561
1,169.57570075405735,40.0,792.0487843303773,1784494677.9522667
1,166.82594510316514,40.0,791.6405023455121,1784494677.9627316
1,163.80745346899027,40.0,790.7218678795655,1784494677.973051
1,160.66547806615824,40.0,790.8239383757817,1784494677.9835243
1,158.3847420966148,40.0,790.211515398484,1784494677.9911268
1,155.11809761877055,40.0,791.0280793682145,1784494678.0020156
1,151.98348935003276,40.0,789.7521981655108,1784494678.0124643
1,148.84551937932963,40.0,789.2418456844294,1784494678.0229242
1,145.74567253942485,40.0,788.3232112184828,1784494678.033257
1,143.18455632085795,40.0,788.4763169628071,1784494678.041794
1,140.06675656194682,40.0,790.4156563909168,1784494678.0521867
1,136.91734249944682,40.0,790.2625506465922,1784494678.0626848
1,134.3326943671226,40.0,790.0584096541597,1784494678.0713003
1,131.18921692724223,40.0,788.4763169628071,1784494678.0817785
1,128.10725148077006,40.0,790.0584096541597,1784494678.0920517
1,124.91413529272073,40.0,788.3742464665909,1784494678.1026955
1,121.79862435216897,40.0,787.6087177449688,1784494678.1130805
1,118.73890335912698,40.0,788.2721759703746,1784494678.1232796
1,116.41460831518167,40.0,786.3838717903732,1784494678.1310272
1,113.32692082281106,40.0,786.7411185271303,1784494678.1413195
1,108.77531941289895,40.0,786.8431890233466,1784494678.1564915
1,107.26441319341653,40.0,786.8942242714546,1784494678.1615279
1,103.95935948247903,40.0,783.3217569038848,1784494678.1725447
1,100.8157389914512,40.0,782.3520871898298,1784494678.1830235
1,97.73241455907817,40.0,780.310677265504,1784494678.1933012
1,95.42142327184672,40.0,779.5451485438819,1784494678.2010045
1,92.29504044408793,40.0,779.1879018071248,1784494678.2114258
1,88.89135296697611,40.0,778.4223730855027,1784494678.2227714
1,85.80573971624369,40.0,777.4016681233397,1784494678.2330568
1,83.18432743902201,40.0,776.4830336573933,1784494678.2417948
1,80.0642388617515,40.0,775.9726811763119,1784494678.2521951
1,76.97540696020121,40.0,775.1050819584733,1784494678.2624912
1,73.8705533301353,40.0,773.9823065000942,1784494678.2728407
1,70.7202094351768,40.0,773.1147072822557,1784494678.283342
1,68.39729879181581,40.0,773.7271302595534,1784494678.2912886
1,65.60767717064815,40.0,775.1050819584733,1784494678.301813
1,63.053675087892174,40.0,775.2581877027978,1784494678.3127825
1,60.94016575362696,40.0,774.5436942292838,1784494678.3233204
1,59.60621071088528,40.0,773.6760950114453,1784494678.331022
1,58.084374114233384,40.0,772.3491785606336,1784494678.3414443
1,56.8908647506785,40.0,770.5119096287403,1784494678.3518417
1,55.959758771824895,40.0,769.2870636741449,1784494678.3631687
1,55.51462714876054,40.0,769.0318874336041,1784494678.3716488
1,55.26198295093839,40.0,766.9394422611703,1784494678.3822
1,55.19921654420915,40.07045751577072,767.3987594941435,1784494678.392541
1,54.96456076682933,40.38973445244731,766.9904775092784,1784494678.4028628
1,54.53289673450037,40.97706441915155,765.6635610584667,1784494678.413338
1,54.084592254387935,41.58703568304678,761.7848822022476,1784494678.4211419
1,53.23293134398788,42.745821073272175,759.4882960373812,1784494678.432569
1,52.2556750194743,44.075493877933084,759.743472277922,1784494678.4429739
1,51.09144222122711,45.65957028786993,757.7020623535961,1784494678.4533346
1,50.09395122176994,47.01677476084421,757.1406746244065,1784494678.461099
1,48.6001533143888,49.049263477755524,756.2220401584599,1784494678.4714332
1,46.91325047114375,51.34449429745327,756.6813573914333,1784494678.481787
1,45.08252938312707,53.835406847818845,754.8951237076482,1784494678.4922156
1,43.651536278964976,55.78244220234438,755.4565114368377,1784494678.5009973
1,42.02898888912402,57.99010981669204,754.84408845954,1784494678.5121698
1,40.720600702008,59.7703266817133,753.1088900238632,1784494678.522547
1,39.610600069635765,61.280613816213446,751.986114565484,1784494678.5328524
1,38.67538018544001,62.55309107238488,752.1902555579164,1784494678.5433314
1,38.0505433937996,63.403255423697075,754.7420179633237,1784494678.5519788
1,37.4554860965183,64.2129012510636,753.8744187454853,1784494678.5628066
1,37.08583589151495,64.71585407162982,753.415101512512,1784494678.5729928
1,36.89475181646628,64.97584655428012,752.0371498135921,1784494678.5838552
1,36.89187740177858,65.0,751.6288678287269,1784494678.5914748
1,37.16888079043718,65.0,751.2716210919698,1784494678.602275
1,37.77355522869171,65.0,751.6799030768351,1784494678.6127734
1,38.683504601578925,65.0,750.2509161298069,1784494678.623029
1,39.92585826379295,65.0,749.6384931525092,1784494678.6334095
1,41.06419956567281,65.0,750.2509161298069,1784494678.6411598
1,43.07323995476206,65.0,748.8729644308871,1784494678.652597
1,45.23836046761764,65.0,748.2095062054814,1784494678.6629863
1,47.72601794217164,65.0,747.8012242206162,1784494678.6733706
1,49.79408486767082,65.0,746.9336250027777,1784494678.681123
1,52.8130437174427,65.0,747.1377659952102,1784494678.6914456
1,55.96617710977668,65.0,747.035695498994,1784494678.701956
1,59.07024395853156,65.0,746.9846602508858,1784494678.712303
1,61.98934567361946,65.0,746.5253430179125,1784494678.7220333
1,65.22673619180793,65.0,746.6274135141288,1784494678.7328246
1,68.31335080057258,65.0,746.372237273588,1784494678.7431133
1,71.47535336404914,65.0,746.3212020254799,1784494678.7536533
1,73.78348362833137,65.0,745.8108495443984,1784494678.761347
1,77.00635445505256,65.0,746.2191315292637,1784494678.77209
1,80.16335022836799,65.0,746.1680962811555,1784494678.7826133
1,83.55402005106086,65.0,746.5763782660206,1784494678.7939155
1,86.5408564844715,65.0,746.4743077698042,1784494678.8038716
1,88.79462731271857,65.0,745.9639552887229,1784494678.8113842
1,92.00741303354377,65.0,745.9129200406147,1784494678.8220935
1,95.12964737802619,65.0,745.9129200406147,1784494678.832501
1,98.22956574350471,65.0,745.5556733038576,1784494678.842834
1,101.38992321878547,65.0,745.5556733038576,1784494678.8533685
1,104.23428070932502,65.0,745.7598142962904,1784494678.8628497
1,107.47839463144416,65.0,745.7087790481821,1784494678.8736634
1,109.81878292947883,65.0,745.6067085519659,1784494678.8814647
1,112.95503628641242,65.0,745.8618847925067,1784494678.891919
1,116.04279530435676,65.0,745.4536028076413,1784494678.9022114
