Timestamp,Internal_Timer,Raw_Reading
2026-06-25 21:18:57.410,16964,362
2026-06-25 21:18:57.665,17214,251
2026-06-25 21:18:57.921,17464,252
2026-06-25 21:18:58.161,17714,256
2026-06-25 21:18:58.417,17964,263
2026-06-25 21:18:58.657,18214,265
2026-06-25 21:18:58.913,18464,265
2026-06-25 21:18:59.169,18714,264
2026-06-25 21:18:59.409,18964,261
2026-06-25 21:18:59.665,19214,260
2026-06-25 21:18:59.921,19464,258
2026-06-25 21:19:00.161,19714,258
2026-06-25 21:19:00.416,19964,258
2026-06-25 21:19:00.912,20464,257
2026-06-25 21:19:01.168,20714,257
2026-06-25 21:19:01.408,20964,257
2026-06-25 21:19:01.664,21214,256
2026-06-25 21:19:01.920,21464,255
2026-06-25 21:19:02.160,21714,255
2026-06-25 21:19:02.416,21964,256
2026-06-25 21:19:02.912,22464,255
2026-06-25 21:19:03.170,22714,255
2026-06-25 21:19:03.407,22964,255
2026-06-25 21:19:03.663,23214,253
2026-06-25 21:19:03.919,23464,252
2026-06-25 21:19:04.159,23714,252
2026-06-25 21:19:04.415,23964,253
2026-06-25 21:19:04.911,24464,257
2026-06-25 21:19:05.167,24714,252
2026-06-25 21:19:05.407,24964,252
2026-06-25 21:19:05.662,25214,251
2026-06-25 21:19:05.918,25464,251
2026-06-25 21:19:06.158,25714,251
2026-06-25 21:19:06.414,25964,250
2026-06-25 21:19:06.670,26214,257
2026-06-25 21:19:06.910,26464,360
2026-06-25 21:19:07.166,26714,428
2026-06-25 21:19:07.406,26964,349
2026-06-25 21:19:07.662,27214,273
2026-06-25 21:19:07.918,27464,241
2026-06-25 21:19:08.158,27714,224
2026-06-25 21:19:08.414,27964,221
2026-06-25 21:19:08.670,28214,216
2026-06-25 21:19:08.910,28464,210
2026-06-25 21:19:09.166,28714,203
2026-06-25 21:19:09.662,29214,205
2026-06-25 21:19:09.918,29464,221
2026-06-25 21:19:10.158,29714,229
2026-06-25 21:19:10.414,29964,236
2026-06-25 21:19:10.670,30214,255
2026-06-25 21:19:10.909,30464,283
2026-06-25 21:19:11.165,30714,276
2026-06-25 21:19:11.421,30964,270
2026-06-25 21:19:11.661,31214,266
2026-06-25 21:19:11.917,31464,261
2026-06-25 21:19:12.157,31714,256
2026-06-25 21:19:12.413,31964,257
2026-06-25 21:19:12.669,32214,251
2026-06-25 21:19:12.909,32464,250
2026-06-25 21:19:13.165,32714,250
2026-06-25 21:19:13.421,32964,250
2026-06-25 21:19:13.660,33214,249
2026-06-25 21:19:13.916,33464,248
2026-06-25 21:19:14.412,33964,249
2026-06-25 21:19:14.668,34214,248
2026-06-25 21:19:14.908,34464,247
2026-06-25 21:19:15.164,34714,246
2026-06-25 21:19:15.420,34964,246
2026-06-25 21:19:15.660,35214,246
2026-06-25 21:19:15.916,35464,247
2026-06-25 21:19:16.171,35714,246
2026-06-25 21:19:16.411,35964,246
2026-06-25 21:19:16.667,36214,246
2026-06-25 21:19:16.907,36464,246
2026-06-25 21:19:17.163,36714,245
