Timestamp,Internal_Timer,Raw_Reading
2026-06-25 21:12:33.937,7500,313
2026-06-25 21:12:34.188,7750,312
2026-06-25 21:12:34.440,8000,312
2026-06-25 21:12:34.691,8250,312
2026-06-25 21:12:34.942,8500,312
2026-06-25 21:12:35.193,8750,311
2026-06-25 21:12:35.696,9250,312
2026-06-25 21:12:36.449,10000,314
2026-06-25 21:12:37.203,10750,313
2026-06-25 21:12:37.404,11000,310
2026-06-25 21:12:38.157,11750,299
2026-06-25 21:12:38.660,12250,299
2026-06-25 21:12:38.911,12500,296
2026-06-25 21:12:39.413,13000,350
2026-06-25 21:12:39.664,13250,340
2026-06-25 21:12:39.915,13500,335
2026-06-25 21:12:40.166,13750,372
2026-06-25 21:12:40.418,14000,430
2026-06-25 21:12:40.670,14250,462
2026-06-25 21:12:40.921,14500,326
2026-06-25 21:12:41.172,14750,330
2026-06-25 21:12:41.423,15000,325
2026-06-25 21:12:41.674,15250,296
2026-06-25 21:12:41.925,15500,288
2026-06-25 21:12:42.177,15750,257
2026-06-25 21:12:42.428,16000,231
2026-06-25 21:12:42.680,16250,209
2026-06-25 21:12:42.931,16500,198
2026-06-25 21:12:43.183,16750,225
2026-06-25 21:12:43.435,17000,222
2026-06-25 21:12:43.686,17250,221
2026-06-25 21:12:43.937,17500,210
2026-06-25 21:12:44.189,17750,196
2026-06-25 21:12:44.440,18000,196
2026-06-25 21:12:44.942,18500,195
2026-06-25 21:12:45.194,18750,188
2026-06-25 21:12:45.696,19250,173
2026-06-25 21:12:45.947,19500,167
2026-06-25 21:12:46.700,20250,150
2026-06-25 21:12:47.403,21000,141
2026-06-25 21:12:48.157,21750,147
2026-06-25 21:12:48.408,22000,147
2026-06-25 21:12:48.910,22500,187
2026-06-25 21:12:49.162,22750,148
2026-06-25 21:12:49.664,23250,149
2026-06-25 21:12:49.917,23500,149
2026-06-25 21:12:50.170,23750,149
2026-06-25 21:12:50.422,24000,149
2026-06-25 21:12:50.673,24250,149
2026-06-25 21:12:50.924,24500,150
2026-06-25 21:12:51.176,24750,150
2026-06-25 21:12:51.428,25000,150
2026-06-25 21:12:51.679,25250,150
2026-06-25 21:12:51.930,25500,150
2026-06-25 21:12:52.182,25750,150
2026-06-25 21:12:52.434,26000,150
2026-06-25 21:12:52.685,26250,150
2026-06-25 21:12:52.936,26500,151
2026-06-25 21:12:53.188,26750,152
2026-06-25 21:12:53.440,27000,151
2026-06-25 21:12:53.691,27250,151
2026-06-25 21:12:53.942,27500,153
2026-06-25 21:12:54.445,28000,153
2026-06-25 21:12:54.696,28250,152
2026-06-25 21:12:55.198,28750,155
2026-06-25 21:12:55.450,29000,162
2026-06-25 21:12:56.203,29750,163
2026-06-25 21:12:56.906,30500,244
2026-06-25 21:12:57.660,31250,295
2026-06-25 21:12:57.911,31500,34
2026-06-25 21:12:58.414,32000,381
2026-06-25 21:12:58.666,32250,521
2026-06-25 21:12:58.917,32500,522
2026-06-25 21:12:59.169,32750,464
2026-06-25 21:12:59.421,33000,388
2026-06-25 21:12:59.672,33250,261
2026-06-25 21:12:59.923,33500,207
2026-06-25 21:13:00.175,33750,139
2026-06-25 21:13:00.426,34000,76
2026-06-25 21:13:00.678,34250,46
2026-06-25 21:13:00.929,34500,32
2026-06-25 21:13:01.181,34750,30
2026-06-25 21:13:01.432,35000,28
2026-06-25 21:13:01.685,35250,25
2026-06-25 21:13:01.936,35500,28
2026-06-25 21:13:02.188,35750,31
2026-06-25 21:13:02.440,36000,33
2026-06-25 21:13:02.691,36250,36
2026-06-25 21:13:03.193,36750,49
2026-06-25 21:13:03.445,37000,52
2026-06-25 21:13:03.948,37500,174
2026-06-25 21:13:04.199,37750,112
2026-06-25 21:13:04.952,38500,79
2026-06-25 21:13:05.655,39250,19
2026-06-25 21:13:06.408,40000,6
2026-06-25 21:13:06.660,40250,34
2026-06-25 21:13:07.163,40750,95
2026-06-25 21:13:07.415,41000,92
2026-06-25 21:13:07.917,41500,45
2026-06-25 21:13:08.168,41750,74
2026-06-25 21:13:08.420,42000,14
2026-06-25 21:13:08.671,42250,48
2026-06-25 21:13:08.922,42500,119
2026-06-25 21:13:09.173,42750,233
2026-06-25 21:13:09.425,43000,155
2026-06-25 21:13:09.676,43250,46
2026-06-25 21:13:09.927,43500,17
2026-06-25 21:13:10.179,43750,51
2026-06-25 21:13:10.430,44000,55
2026-06-25 21:13:10.681,44250,54
2026-06-25 21:13:10.933,44500,49
2026-06-25 21:13:11.184,44750,36
2026-06-25 21:13:11.435,45000,46
